FirstName,LastName,Email,Birthday,Notes,Iban,Phone,PhoneLabel,Street,City,State,PostalCode,Country
Tony,Stark,tony.stark@starkindustries.com,1970-05-29,Genius billionaire playboy philanthropist,GB29STRK60161331920001,+1 212 555 0101,Mobile,10880 Malibu Point,Malibu,CA,90265,USA
Steve,Rogers,steve.rogers@shield.gov,1918-07-04,Super soldier and man out of time,GB29SRGR60161331920002,+1 212 555 0102,Mobile,569 Leaman Place,Brooklyn,NY,11201,USA
Natasha,Romanoff,natasha.romanoff@shield.gov,1984-11-22,Former KGB operative and SHIELD agent,GB29NTRM60161331920003,+1 212 555 0103,Mobile,890 Fifth Avenue,New York,NY,10065,USA
Bruce,Banner,bruce.banner@culver.edu,1969-12-18,Gamma radiation physicist with a temper problem,GB29BBNR60161331920004,+1 617 555 0104,Work,67 Scooter Lane,Willowdale,MA,02134,USA
Thor,Odinson,thor.odinson@avengers.com,1985-04-10,Prince of Asgard and god of thunder,GB29THOD60161331920005,+1 212 555 0105,Mobile,3000 Avengers Tower,New York,NY,10001,USA
Clint,Barton,clint.barton@shield.gov,1971-01-07,SHIELD master archer and family man,GB29CBRT60161331920006,+1 515 555 0106,Home,Route 1 Farm Road,Waverly,IA,50677,USA
Peter,Parker,peter.parker@dailybugle.com,2001-08-10,Friendly neighbourhood photographer and science enthusiast,GB29PPRK60161331920007,+1 718 555 0107,Mobile,20 Ingram Street,Forest Hills,NY,11375,USA
Wanda,Maximoff,wanda.maximoff@avengers.com,1989-02-10,Chaos magic practitioner and Avenger,GB29WMAX60161331920008,+1 212 555 0108,Mobile,2800 Westview Drive,Westview,NJ,07090,USA
Bruce,Wayne,bruce.wayne@wayneenterprises.com,1972-02-19,Billionaire philanthropist and Gotham City's protector,GB29BWNY60161331920009,+1 201 555 0109,Work,1007 Mountain Drive,Gotham City,NJ,07001,USA
Clark,Kent,clark.kent@dailyplanet.com,1984-06-18,Journalist at the Daily Planet and Metropolis hero,GB29CKMT60161331920010,+1 212 555 0110,Work,344 Clinton Street,Metropolis,NY,10001,USA
Diana,Prince,diana.prince@themyscira.gov,1976-03-22,Amazon warrior and ambassador of Themyscira,GB29DPRC60161331920011,+1 202 555 0111,Work,2120 Kalorama Road NW,Washington,,20008,USA
Barry,Allen,barry.allen@ccpd.gov,1989-03-14,CCPD forensic scientist with a need for speed,GB29BALN60161331920012,+1 513 555 0112,Work,567 Primrose Lane,Central City,OH,45201,USA
Oliver,Queen,oliver.queen@queenconsolidated.com,1985-05-16,CEO of Queen Consolidated and Star City vigilante,GB29OQSN60161331920013,+1 503 555 0113,Work,1 Queen Plaza,Star City,OR,97201,USA
Arthur,Curry,arthur.curry@atlantis.net,1986-01-29,Marine biologist and reluctant king of Atlantis,GB29ACRY60161331920014,+1 808 555 0114,Mobile,12 Amnesty Bay Road,Amnesty Bay,ME,04609,USA
Sherlock,Holmes,sherlock.holmes@bakerst.co.uk,1984-01-06,World's only consulting detective,GB29SHLM60161331920015,+44 20 7946 0958,Home,221B Baker Street,London,,NW1 6XE,UK
John,Watson,john.watson@bakerst.co.uk,1972-07-07,Army doctor retired and blogger,GB29JWTS60161331920016,+44 20 7946 0959,Home,221B Baker Street,London,,NW1 6XE,UK
Irene,Adler,irene.adler@thewoman.co.uk,1980-12-10,Professional dominatrix and the only woman to outsmart Holmes,GB29IADL60161331920017,+44 20 7946 0960,Mobile,13 Eaton Square,London,,SW1W 9BE,UK
Mycroft,Holmes,mycroft.holmes@british.gov.uk,1970-01-06,Minor government official who actually runs the British government,GB29MHLM60161331920018,+44 20 7946 0961,Work,10 Downing Street,London,,SW1A 2AA,UK
James,Moriarty,james.moriarty@reichenbach.co.uk,1978-04-22,Professor of mathematics and Napoleon of Crime,GB29JMRT60161331920019,+44 20 7946 0962,Mobile,14 York Place,London,,W1U 6PX,UK
Dean,Winchester,dean.winchester@roadhouse.com,1979-01-24,Hunter raised in a 1967 Chevy Impala,GB29DWNC60161331920020,+1 785 555 0120,Mobile,1614 Elmwood Avenue,Lebanon,KS,66952,USA
Sam,Winchester,sam.winchester@stanford.edu,1983-05-02,Hunter and former Stanford law student,GB29SWNC60161331920021,+1 785 555 0121,Mobile,1614 Elmwood Avenue,Lebanon,KS,66952,USA
Castiel,Novak,castiel.novak@heaven.org,1978-09-18,Angel of the Lord in a trenchcoat,GB29CSTL60161331920022,+1 785 555 0122,Mobile,1614 Elmwood Avenue,Lebanon,KS,66952,USA
Bobby,Singer,bobby.singer@siouxfalls.com,1950-08-12,Salvage yard owner and hunter mentor,GB29BSGR60161331920023,+1 605 555 0123,Home,Salvage Yard Route 6,Sioux Falls,SD,57101,USA
Charlie,Bradbury,charlie.bradbury@lvl20.com,1985-10-04,Hacker genius and Queen of Moondoor,GB29CBRD60161331920024,+1 503 555 0124,Mobile,742 Geek Street,Portland,OR,97201,USA
